,species,family,name,region,part,source
35,Aframomum alboviolaceum,Zingiberaceae,Cameroon cardamom,Trop Afr,leaf,van_wyk_culinary_2014
36,Aframomum angustifolium,Zingiberaceae,Madagascar cardamom,Madag,seed,van_wyk_culinary_2014
37,Aframomum daniellii,Zingiberaceae,bastard Melegueta,Trop W Afr,seed,van_wyk_culinary_2014
38,Aframomum daniellii,Zingiberaceae,Cameroon cardamom,Trop W Afr,seed,van_wyk_culinary_2014
39,Aframomum exscapum,Zingiberaceae,alligator pepper,Trop W Afr,seed,van_wyk_culinary_2014
40,Aframomum exscapum,Zingiberaceae,grains of paradise,Trop W Afr,seed,van_wyk_culinary_2014
41,Aframomum granumparadisi,Zingiberaceae,grains of paradise,W Afr,seed,van_wyk_culinary_2014
42,Aframomum hanburyi,Zingiberaceae,Cameroon cardamom,Trop W Afr,seed,van_wyk_culinary_2014
43,Aframomum corrorima,Zingiberaceae,Ethiopian cardamom,Trop NE Afr,seed,van_wyk_culinary_2014
44,Aframomum corrorima,Zingiberaceae,korarima,Trop NE Afr,seed,van_wyk_culinary_2014
45,Aframomum macrospermum,Zingiberaceae,Guinea cardamom,W Afr,seed,van_wyk_culinary_2014
46,Aframomum melegueta,Zingiberaceae,Melegueta pepper,Trop W Afr,seed,van_wyk_culinary_2014
47,Aframomum melegueta,Zingiberaceae,grains of paradise,Trop W Afr,seed,van_wyk_culinary_2014
48,Aframomum melegueta,Zingiberaceae,alligator pepper,Trop W Afr,seed,van_wyk_culinary_2014
49,Aframomum sceptrum,Zingiberaceae,black amomum,W Afr,leaf,van_wyk_culinary_2014
50,Afrostyrax kamerunensis,Styracaceae,Cameroon garlic tree,Trop Afr,bark; seed,van_wyk_culinary_2014
51,Afrostyrax lepidophyllus,Styracaceae,garlic bark (tree),Trop Afr,bark; seed,van_wyk_culinary_2014
52,Agastache foeniculum,Lamiaceae,anise hyssop,N Am; W As,leaf,van_wyk_culinary_2014
53,Agastache mexicana,Lamiaceae,Mexican giant hyssop,As,leaf,van_wyk_culinary_2014
54,Agastache mexicana,Lamiaceae,lemon hyssop,As,leaf,van_wyk_culinary_2014
55,Agastache rugosa,Lamiaceae,Chinese giant hyssop,N Am; W As,leaf,van_wyk_culinary_2014
56,Agastache rugosa,Lamiaceae,Korean mint,N Am; W As,leaf,van_wyk_culinary_2014
57,Agathosma betulina,Rutaceae,buchu,S Afr,leaf,van_wyk_culinary_2014
58,Agathosma betulina,Rutaceae,round leaf buchu,S Afr,leaf,van_wyk_culinary_2014
59,Agathosma crenulata,Rutaceae,oval leaf buchu,S Afr,leaf,van_wyk_culinary_2014
60,Aglaia odoratissima,Meliaceae,mock lime,As; W Pac,flower,van_wyk_culinary_2014
61,Aglaia odoratissima,Meliaceae,orchid tree,As; W Pac,flower,van_wyk_culinary_2014
62,Aleurites moluccana,Euphorbiaceae,candle nut,SE As,seed,van_wyk_culinary_2014
63,Alliaria petiolata,Brassicaceae,garlic mustard,Eur; Temp As,leaf,van_wyk_culinary_2014
64,Allium altaicum,Alliaceae,Altai onion,C As,bulb,van_wyk_culinary_2014
65,Allium ameloprasum,Alliaceae,leeks,Med; W As,bulb; leaf,van_wyk_culinary_2014
66,Allium cepa,Alliaceae,onion,W As; C As,bulb,van_wyk_culinary_2014
67,Allium chinense,Alliaceae,Chinese onion,China,bulb,van_wyk_culinary_2014
68,Allium chinense,Alliaceae,oriental onion,China,bulb,van_wyk_culinary_2014
69,Allium chinense,Alliaceae,rakkyo,China,bulb,van_wyk_culinary_2014
70,Allium fistulosum,Alliaceae,Welsh onion,China,bulb; leaf,van_wyk_culinary_2014
71,Allium fistulosum,Alliaceae,Japanese bunching onion,China,bulb; leaf,van_wyk_culinary_2014
72,Allium giganteum,Alliaceae,giant onion,C As,bulb,van_wyk_culinary_2014
73,Allium kurrat,Alliaceae,kurrat,Med; W As,leaf,van_wyk_culinary_2014
74,Allium kurrat,Alliaceae,salad leek,Med; W As,leaf,van_wyk_culinary_2014
75,Allium kurrat,Alliaceae,Egypt leek,Med; W As,leaf,van_wyk_culinary_2014
76,Allium moly,Alliaceae,lily leek,Eur,bulb,van_wyk_culinary_2014
77,Allium moly,Alliaceae,moly,Eur,bulb,van_wyk_culinary_2014
78,Allium moly,Alliaceae,yellow onion,Eur,bulb,van_wyk_culinary_2014
79,Allium neopolitanum,Alliaceae,daffodil garlic,Med; W As,bulb; leaf,van_wyk_culinary_2014
80,Allium neopolitanum,Alliaceae,Naples garlic,Med; W As,bulb; leaf,van_wyk_culinary_2014
81,Allium neopolitanum,Alliaceae,false garlic,Med; W As,bulb; leaf,van_wyk_culinary_2014
82,Allium obliquum,Alliaceae,oblique onion,Eur; As,bulb,van_wyk_culinary_2014
83,Allium oleraceum,Alliaceae,field garlic,Eur,bulb; leaf,van_wyk_culinary_2014
84,Allium oschaninii,Alliaceae,Oschanin onion,C As; W As,bulb,van_wyk_culinary_2014
85,Allium paradoxum,Alliaceae,few-flowered leek,Eur; W As,bulb; leaf,van_wyk_culinary_2014
86,Allium ×proliferum,Alliaceae,Egyptian onion,cultigen,bulblet; leaf,van_wyk_culinary_2014
87,Allium ×proliferum,Alliaceae,top onion,cultigen,bulblet; leaf,van_wyk_culinary_2014
88,Allium ×proliferum,Alliaceae,tree onion,cultigen,bulblet; leaf,van_wyk_culinary_2014
89,Allium pskemense,Alliaceae,Russian onion,As,bulb,van_wyk_culinary_2014
90,Allium ramosum,Alliaceae,Chinese leek,As,bulb; leaf,van_wyk_culinary_2014
91,Allium sativum,Alliaceae,garlic,C As; W As,bulb,van_wyk_culinary_2014
92,Allium schoenoprasum,Alliaceae,chive,Med; Eur; As,leaves,van_wyk_culinary_2014
93,Allium schoenoprasum,Alliaceae,chives,Med; Eur; As,leaves,van_wyk_culinary_2014
94,Allium schorodoprasum,Alliaceae,sand leek,Eur; As,bulblet; leaf,van_wyk_culinary_2014
95,Allium schorodoprasum,Alliaceae,Spanish garlic,Eur; As,bulblet; leaf,van_wyk_culinary_2014
96,Allium schorodoprasum,Alliaceae,rocambole,Eur; As,bulblet; leaf,van_wyk_culinary_2014
97,Allium senescens,Alliaceae,mountain leek,C Eur; As,leaf,van_wyk_culinary_2014
98,Allium sphaerocephalon,Alliaceae,ball leek,Med; Eur,leaf,van_wyk_culinary_2014
99,Allium stipitatum,Alliaceae,drumstick onion,C As,bulb,van_wyk_culinary_2014
100,Allium tricoccum,Alliaceae,ramp,N Am,bulb; leaf,van_wyk_culinary_2014
101,Allium tricoccum,Alliaceae,wild leek,N Am,bulb; leaf,van_wyk_culinary_2014
102,Allium tricoccum,Alliaceae,wood leek,N Am,bulb; leaf,van_wyk_culinary_2014
103,Allium tuberosum,Alliaceae,garlic chive,As,leaf,van_wyk_culinary_2014
104,Allium tuberosum,Alliaceae,Chinese chive,As,leaf,van_wyk_culinary_2014
105,Allium ursinum,Alliaceae,bear’s garlic,Eur; As,leaf,van_wyk_culinary_2014
106,Allium ursinum,Alliaceae,ramsons,Eur; As,leaf,van_wyk_culinary_2014
107,Allium ursinum,Alliaceae,wood garlic,Eur; As,leaf,van_wyk_culinary_2014
108,Allium vavilovii,Alliaceae,Vavilov’s leek,C As,bulb; leaf,van_wyk_culinary_2014
109,Allium victoralis,Alliaceae,alpine leek,Eur; As,leek; bulb,van_wyk_culinary_2014
110,Allium vineale,Alliaceae,crow garlic,Eur,leaf,van_wyk_culinary_2014
111,Allium vineale,Alliaceae,false garlic,Eur,leaf,van_wyk_culinary_2014
112,Allium vineale,Alliaceae,field garlic,Eur,leaf,van_wyk_culinary_2014
113,Aloysia citrodora (=Aloysia triphylla),Verbenaceae,lemon verbena,S Am,leaves,van_wyk_culinary_2014
114,Aloysia citrodora (=Aloysia triphylla),Verbenaceae,vervain,S Am,leaves,van_wyk_culinary_2014
115,Aloysia citrodora (=Aloysia triphylla),Verbenaceae,cidron,S Am,leaves,van_wyk_culinary_2014
116,Aloysia citrodora (=Aloysia triphylla),Verbenaceae,herb Luisa,S Am,leaves,van_wyk_culinary_2014
117,Alpinia calcarata,Zingiberaceae,Indian ginger,As; Pac; E Ind,rhizome,van_wyk_culinary_2014
118,Alpinia calcarata,Zingiberaceae,snap ginger,As; Pac; E Ind,rhizome,van_wyk_culinary_2014
119,Alpinia conchigera,Zingiberaceae,mussel galangal,SE As,rhizome,van_wyk_culinary_2014
120,Alpinia galanga,Zingiberaceae,galangal,Trop As,rhizome,van_wyk_culinary_2014
121,Alpinia galanga,Zingiberaceae,greater galangal,Trop As,rhizome,van_wyk_culinary_2014
122,Alpinia nigra,Zingiberaceae,black galangal,Pac; SE As,rhizome,van_wyk_culinary_2014
123,Alpinia officinarum,Zingiberaceae,lesser galangal,E As; SE As,rhizome,van_wyk_culinary_2014
124,Alpinia officinarum,Zingiberaceae,small galangal,E As; SE As,rhizome,van_wyk_culinary_2014
125,Alpinia purpurata,Zingiberaceae,red ginger,As; Pac; Malay,leaf,van_wyk_culinary_2014
126,Alpinia zerumbet,Zingiberaceae,shell ginger,As; Pac; E As,leaf; rhizome,van_wyk_culinary_2014
127,Alstonia scholaris,Apocynaceae,devil tree,Indomal; Aus,bark,van_wyk_culinary_2014
128,Alstonia scholaris,Apocynaceae,dita bark,Indomal; Aus,bark,van_wyk_culinary_2014
129,Alstonia scholaris,Apocynaceae,palmira alstonia,Indomal; Aus,bark,van_wyk_culinary_2014
130,Alyxia lucida,Apocynaceae,alyxia cinnamon,Indomal,bark,van_wyk_culinary_2014
131,Amelanchier alnifolia,Rosaceae,alderleaf berry,N Am,fruit,van_wyk_culinary_2014
132,Amelanchier alnifolia,Rosaceae,Pacific berry,N Am,fruit,van_wyk_culinary_2014
133,Amelanchier alnifolia,Rosaceae,saskatoon,N Am,fruit,van_wyk_culinary_2014
134,Amelanchier alnifolia,Rosaceae,western serviceberry,N Am,fruit,van_wyk_culinary_2014
135,Ammi majus,Apiaceae,false bishop’s weed,Med; NE Afr,fruit,van_wyk_culinary_2014
136,Ammi majus,Apiaceae,greater ammi,Med; NE Afr,fruit,van_wyk_culinary_2014
137,Ammi majus,Apiaceae,lady’s lace,Med; NE Afr,fruit,van_wyk_culinary_2014
138,Ammi visnaga,Apiaceae,khella,S Eur; NE Afr,fruit,van_wyk_culinary_2014
139,Ammi visnaga,Apiaceae,visnaga,S Eur; NE Afr,fruit,van_wyk_culinary_2014
140,Ammi visnaga,Apiaceae,lesser bishop’s weed,S Eur; NE Afr,fruit,van_wyk_culinary_2014
141,Ammodaucus leucotrichus,Apiaceae,cafoun,Canary Is; N Afr; W Afr,fruit; seed,van_wyk_culinary_2014
142,Amomum aromaticum,Zingiberaceae,Bengal cardamom,N Ind; Bangl; Nepal,fruit & seed,van_wyk_culinary_2014
143,Amomum aromaticum,Zingiberaceae,Nepal cardamom,N Ind; Bangl; Nepal,fruit & seed,van_wyk_culinary_2014
144,Amomum aromaticum,Zingiberaceae,large cardamom,N Ind; Bangl; Nepal,fruit & seed,van_wyk_culinary_2014
145,Amomum compactum,Zingiberaceae,Indonesian cardamom,SE As,fruit & seed,van_wyk_culinary_2014
146,Amomum costatum,Zingiberaceae,Chinese black cardamom,E As,fruit & seed,van_wyk_culinary_2014
147,Amomum globosum,Zingiberaceae,round Chinese cardamom,China,fruit & seed,van_wyk_culinary_2014
148,Amomum gracile,Zingiberaceae,slender cardamom,SE As,leaf,van_wyk_culinary_2014
149,Amomum kepulaga,Zingiberaceae,round cardamom,Trop As,fruit & seed,van_wyk_culinary_2014
150,Amomum krervanh,Zingiberaceae,Cambodian cardamom,Trop As,fruit & seed,van_wyk_culinary_2014
151,Amomum krervanh,Zingiberaceae,krervanh,Trop As,fruit & seed,van_wyk_culinary_2014
152,Amomum maximum,Zingiberaceae,Java cardamom,Trop As,fruit & seed,van_wyk_culinary_2014
153,Amomum ochreum,Zingiberaceae,tepus batu,As,fruit & seed,van_wyk_culinary_2014
154,Amomum subulatum,Zingiberaceae,brown cardamom,As,fruit & seed,van_wyk_culinary_2014
155,Amomum subulatum,Zingiberaceae,greater cardamom,As,fruit & seed,van_wyk_culinary_2014
156,Amomum subulatum,Zingiberaceae,Indian cardamom,As,fruit & seed,van_wyk_culinary_2014
157,Amomum testaceum,Zingiberaceae,ka tepus,As,fruit & seed,van_wyk_culinary_2014
158,Amomum tsao-ko,Zingiberaceae,tsao-ko cardamom,As,fruit & seed,van_wyk_culinary_2014
159,Amomum tsao-ko,Zingiberaceae,large cardamom,As,fruit & seed,van_wyk_culinary_2014
160,Amomum villosum,Zingiberaceae,Malabar cardamom,As,fruit & seed,van_wyk_culinary_2014
161,Amomum villosum,Zingiberaceae,Tavoy cardamom,As,fruit & seed,van_wyk_culinary_2014
162,Amomum villosum,Zingiberaceae,wild Siamese cardamom,As,fruit & seed,van_wyk_culinary_2014
163,Amomum xanthioides,Zingiberaceae,bastard Siamese cardamom,As,fruit & seed,van_wyk_culinary_2014
164,Amomum xanthioides,Zingiberaceae,wild Siamese cardamom,As,fruit & seed,van_wyk_culinary_2014
165,Amomum xanthophlebium,Zingiberaceae,elach,As,flower,van_wyk_culinary_2014
166,Anacyclus pyrethrum,Asteraceae,Roman pellitory,Eur; N Afr,root,van_wyk_culinary_2014
167,Anacyclus pyrethrum,Asteraceae,Spanish pellitory,Eur; N Afr,root,van_wyk_culinary_2014
168,Anethum graveolens (=A. sowa),Apiaceae,dill,W As; Ind,leaf; fruit,van_wyk_culinary_2014
169,Anethum graveolens (=A. sowa),Apiaceae,Indian dill,W As; Ind,leaf; fruit,van_wyk_culinary_2014
170,Angelica acutiloba,Apiaceae,dong dang gui,Eur; E As,root; leaf,van_wyk_culinary_2014
171,Angelica archangelica,Apiaceae,angelica,Eur; As,root; fruit; stem,van_wyk_culinary_2014
172,Angelica archangelica,Apiaceae,garden angelica,Eur; As,root; fruit; stem,van_wyk_culinary_2014
173,Angelica archangelica,Apiaceae,archangel,Eur; As,root; fruit; stem,van_wyk_culinary_2014
174,Angelica atropurpurea,Apiaceae,American angelica,N Am,root; fruit,van_wyk_culinary_2014
175,Angelica japonica,Apiaceae,Japanese angelica,As,root; fruit,van_wyk_culinary_2014
176,Angelica polymorpha var. sinensis,Apiaceae,Chinese angelica,As; E As,root,van_wyk_culinary_2014
177,Angelica polymorpha var. sinensis,Apiaceae,dang gui,As; E As,root,van_wyk_culinary_2014
178,Angelica sylvestris,Apiaceae,wild angelica,Eur; W As,root,van_wyk_culinary_2014
179,Aniba canellila,Lauraceae,Oriniko cinnamon,S Am,bark; leaf,van_wyk_culinary_2014
180,Aniba rosaedora,Lauraceae,rose wood,N Am; S Am,wood,van_wyk_culinary_2014
181,Anthoxanthum odoratum,Poaceae,scented vernal grass,Eur; As,leaf,van_wyk_culinary_2014
182,Anthoxanthum odoratum,Poaceae,sweet vernal grass,Eur; As,leaf,van_wyk_culinary_2014
183,Anthriscus cerefolium,Apiaceae,chervil,As; W As,leaf,van_wyk_culinary_2014
184,Anthriscus cerefolium,Apiaceae,garden chervil,As; W As,leaf,van_wyk_culinary_2014
185,Anthriscus cerefolium,Apiaceae,French parsley,As; W As,leaf,van_wyk_culinary_2014
186,Apium graveolens,Apiaceae,celery,Eur; As,leaf; seed,van_wyk_culinary_2014
187,Aquilaria agallocha,Thymelaeaceae,agar wood,As,wood,van_wyk_culinary_2014
188,Aquilaria agallocha,Thymelaeaceae,eagle wood,As,wood,van_wyk_culinary_2014
189,Arachis hypogaea,Leguminosae,peanut,S Am,seed,van_wyk_culinary_2014
190,Arachis hypogaea,Leguminosae,ground nut,S Am,seed,van_wyk_culinary_2014
191,Aristolochia serpentaria,Aristolochiaceae,Virginia serpentary,N Am,rhizome,van_wyk_culinary_2014
192,Aristolochia serpentaria,Aristolochiaceae,Virginia snakeroot,N Am,rhizome,van_wyk_culinary_2014
193,Armoracia rusticana,Brassicaceae,horseradish,As,root,van_wyk_culinary_2014
194,Arnica chamissonis,Asteraceae,leafy leopardsbane,N Am,flower,van_wyk_culinary_2014
195,Arnica montana,Asteraceae,arnica,Eur,flower,van_wyk_culinary_2014
196,Arnica montana,Asteraceae,European arnica,Eur,flower,van_wyk_culinary_2014
197,Arnica montana,Asteraceae,mountain arnica,Eur,flower,van_wyk_culinary_2014
198,Artabotrys hexapetalus,Annonaceae,tail grape,S As,flower,van_wyk_culinary_2014
199,Artemisia abrotanum,Asteraceae,southernwood,Eur?,leaves,van_wyk_culinary_2014
200,Artemisia absinthium,Asteraceae,absinthe,Euras; N Afr,leaves,van_wyk_culinary_2014
201,Artemisia absinthium,Asteraceae,common wormwood,Euras; N Afr,leaves,van_wyk_culinary_2014
202,Artemisia dracunculoides,Asteraceae,Russian tarragon,Eur; As,leaves,van_wyk_culinary_2014
203,Artemisia dracunculus,Asteraceae,tarragon,Eur; As,leaves,van_wyk_culinary_2014
204,Artemisia dracunculus,Asteraceae,French tarragon,Eur; As,leaves,van_wyk_culinary_2014
205,Artemisia dracunculus,Asteraceae,estragon,Eur; As,leaves,van_wyk_culinary_2014
206,Artemisia genipi,Asteraceae,genépi noir,Eur,leaf,van_wyk_culinary_2014
207,Artemisia glacialis,Asteraceae,glacier wormwood,Eur,leaf,van_wyk_culinary_2014
208,Artemisia indica,Asteraceae,Indian mugwort,As,leaf,van_wyk_culinary_2014
209,Artemisia judaica,Asteraceae,graines à vers,N Afr,herb,van_wyk_culinary_2014
210,Artemisia judaica,Asteraceae,zédoire,N Afr,herb,van_wyk_culinary_2014
211,Artemisia ludoviciana,Asteraceae,cudweed,N Am,herb,van_wyk_culinary_2014
212,Artemisia ludoviciana,Asteraceae,western mugwort,N Am,herb,van_wyk_culinary_2014
213,Artemisia ludoviciana,Asteraceae,white sage,N Am,herb,van_wyk_culinary_2014
214,Artemisia maritima,Asteraceae,sea wormwood,Eur; As,herb,van_wyk_culinary_2014
215,Artemisia mexicana,Asteraceae,Mexican mugwort,N Am,herb,van_wyk_culinary_2014
216,Artemisia mutellina,Asteraceae,alpine wormwood,Eur,herb,van_wyk_culinary_2014
217,Artemisia mutellina,Asteraceae,white genipi,Eur,herb,van_wyk_culinary_2014
218,Artemisia pallens,Asteraceae,davana,As,herb,van_wyk_culinary_2014
219,Artemisia pontica,Asteraceae,Roman wormwood,Eur,leaf; herb,van_wyk_culinary_2014
220,Artemisia pontica,Asteraceae,small absinth,Eur,leaf; herb,van_wyk_culinary_2014
221,Artemisia princeps,Asteraceae,Japanese mugwort,E As,leaf,van_wyk_culinary_2014
222,Artemisia rehan,Asteraceae,rehan,Afr,leaf; herb,van_wyk_culinary_2014
223,Artemisia rehan,Asteraceae,Ethiopian wormwood,Afr,leaf; herb,van_wyk_culinary_2014
224,Artemisia vulgaris,Asteraceae,mugwort,Eur; As; N Am,leaves,van_wyk_culinary_2014
225,Artemisia vulgaris,Asteraceae,motherwort,Eur; As; N Am,leaves,van_wyk_culinary_2014
226,Artemisia vulgaris,Asteraceae,sagebrush,Eur; As; N Am,leaves,van_wyk_culinary_2014
227,Artocarpus lakoochus,Moraceae,monkey jack,As,male flowers,van_wyk_culinary_2014
228,Averrhoa bilimbi,Oxalidaceae,bilimbi,Trop As,fruit,van_wyk_culinary_2014
229,Averrhoa bilimbi,Oxalidaceae,cucumber tree,Trop As,fruit,van_wyk_culinary_2014
230,Averrhoa bilimbi,Oxalidaceae,tree sorrel,Trop As,fruit,van_wyk_culinary_2014
231,Backhousia citriodora,Myrtaceae,Australian lemon myrtle,Aus,leaf,van_wyk_culinary_2014
232,Backhousia citriodora,Myrtaceae,citron myrtle,Aus,leaf,van_wyk_culinary_2014
233,Barbarea verna,Brassicaceae,land cress,Med; W As,leaf,van_wyk_culinary_2014
234,Berberis vulgaris,Berberidaceae,barberry,Eur; As,fruit,van_wyk_culinary_2014
235,Berberis vulgaris,Berberidaceae,zereshk,Eur; As,fruit,van_wyk_culinary_2014
236,Berberis vulgaris,Berberidaceae,sereshk,Eur; As,fruit,van_wyk_culinary_2014
237,Bixa orellana,Bixaceae,an(n)atto,Trop Am,seed,van_wyk_culinary_2014
238,Bixa orellana,Bixaceae,achiote,Trop Am,seed,van_wyk_culinary_2014
239,Bixa orellana,Bixaceae,roucou,Trop Am,seed,van_wyk_culinary_2014
240,Boesenbergia rotunda (=Boesenbergia pandurata),Zingiberaceae,fingerroot,Trop As,rhizome; root,van_wyk_culinary_2014
241,Boesenbergia rotunda (=Boesenbergia pandurata),Zingiberaceae,Chinese keys,Trop As,rhizome; root,van_wyk_culinary_2014
242,Boesenbergia rotunda (=Boesenbergia pandurata),Zingiberaceae,krachai,Trop As,rhizome; root,van_wyk_culinary_2014
243,Borago officinalis,Boraginaceae,borage,Med; Eur,leaf; flower,van_wyk_culinary_2014
244,Brassica juncea,Brassicaceae,brown mustard,C As,seed; leaf,van_wyk_culinary_2014
245,Brassica juncea,Brassicaceae,Chinese mustard,C As,seed; leaf,van_wyk_culinary_2014
246,Brassica juncea,Brassicaceae,Indian mustard,C As,seed; leaf,van_wyk_culinary_2014
247,Brassica juncea,Brassicaceae,leaf mustard,C As,seed; leaf,van_wyk_culinary_2014
248,Brassica juncea,Brassicaceae,mustard green,C As,seed; leaf,van_wyk_culinary_2014
249,Brassica nigra,Brassicaceae,black mustard,W As,seed,van_wyk_culinary_2014
250,Buchanaria lanzan,Anacardiaceae,charoli,As,seed,van_wyk_culinary_2014
251,Buchanaria lanzan,Anacardiaceae,chironji,As,seed,van_wyk_culinary_2014
252,Bunium persicum,Apiaceae,black caraway,Eur; As,fruit,van_wyk_culinary_2014
253,Bunium persicum,Apiaceae,black cumin,Eur; As,fruit,van_wyk_culinary_2014
254,Bunium persicum,Apiaceae,black zira,Eur; As,fruit,van_wyk_culinary_2014
255,Bunium roxburghianum,Apiaceae,ajmud,As,fruit,van_wyk_culinary_2014
256,Bunium roxburghianum,Apiaceae,radhuni,As,fruit,van_wyk_culinary_2014
257,Calamintha cretica,Lamiaceae,dwarf calamint,Med,herb,van_wyk_culinary_2014
258,Calamintha grandiflora,Lamiaceae,showy calamint,S Eur,herb,van_wyk_culinary_2014
259,Calamintha grandiflora,Lamiaceae,showy savory,S Eur,herb,van_wyk_culinary_2014
260,Calamintha grandiflora,Lamiaceae,large flowered calamint,S Eur,herb,van_wyk_culinary_2014
261,Calamintha menthifolia,Lamiaceae,calamint,Eur,herb,van_wyk_culinary_2014
262,Calamintha nepeta,Lamiaceae,common calamint,Eur; As,herb,van_wyk_culinary_2014
263,Calamintha nepeta,Lamiaceae,lesser calamint,Eur; As,herb,van_wyk_culinary_2014
264,Calendula officinalis,Asteraceae,pot marigold,S Eur?,flower,van_wyk_culinary_2014
265,Calendula officinalis,Asteraceae,marigold flower,S Eur?,flower,van_wyk_culinary_2014
266,Calendula officinalis,Asteraceae,calendula,S Eur?,flower,van_wyk_culinary_2014
267,Camellia sinensis,Theaceae,tea,S & E As,leaves,van_wyk_culinary_2014
268,Camellia sinensis,Theaceae,chai,S & E As,leaves,van_wyk_culinary_2014
269,Canarium pimela,Burseraceae,Chinese black olive,As,seed,van_wyk_culinary_2014
270,Canarium pimela,Burseraceae,Chinese black canarium,As,seed,van_wyk_culinary_2014
271,Canella winterana,Canellaceae,winter cinnamon,N & C Am,bark,van_wyk_culinary_2014
272,Canella winterana,Canellaceae,white cinnamon,N & C Am,bark,van_wyk_culinary_2014
273,Capparis sicula,Capparaceae,Sicili caper,Med,flower bud; unripe fruit,van_wyk_culinary_2014
274,Capparis spinosa,Capparaceae,capers,Med,flower bud; unripe fruit,van_wyk_culinary_2014
275,Capparis spinosa,Capparaceae,caper,Med,flower bud; unripe fruit,van_wyk_culinary_2014
276,Capsicum annuum,Solanaceae,paprika,C Am,fruit,van_wyk_culinary_2014
277,Capsicum annuum,Solanaceae,cayenne pepper,C Am,fruit,van_wyk_culinary_2014
278,Capsicum annuum,Solanaceae,chilli (pepper),C Am,fruit,van_wyk_culinary_2014
279,Capsicum annuum,Solanaceae,chili (pepper),C Am,fruit,van_wyk_culinary_2014
280,Capsicum annuum,Solanaceae,green pepper,C Am,fruit,van_wyk_culinary_2014
281,Capsicum annuum,Solanaceae,red pepper,C Am,fruit,van_wyk_culinary_2014
282,Capsicum baccatum,Solanaceae,aji,S Am (Bolivia),fruit,van_wyk_culinary_2014
283,Capsicum baccatum,Solanaceae,Peruvian pepper,S Am (Bolivia),fruit,van_wyk_culinary_2014
284,Capsicum chinense,Solanaceae,yellow lantern chilli,S Am,fruit,van_wyk_culinary_2014
285,Capsicum chinense,Solanaceae,habanero,S Am,fruit,van_wyk_culinary_2014
286,Capsicum chinense,Solanaceae,Scotch bonnet,S Am,fruit,van_wyk_culinary_2014
287,Capsicum chinense,Solanaceae,Chinese chilli,S Am,fruit,van_wyk_culinary_2014
288,Capsicum chinense,Solanaceae,bonnet pepper,S Am,fruit,van_wyk_culinary_2014
289,Capsicum frutescens,Solanaceae,chilli,C Am; S Am,fruit,van_wyk_culinary_2014
290,Capsicum frutescens,Solanaceae,chili,C Am; S Am,fruit,van_wyk_culinary_2014
291,Capsicum frutescens,Solanaceae,bird chilli,C Am; S Am,fruit,van_wyk_culinary_2014
292,Capsicum frutescens,Solanaceae,hot pepper,C Am; S Am,fruit,van_wyk_culinary_2014
293,Capsicum frutescens,Solanaceae,Tabasco pepper,C Am; S Am,fruit,van_wyk_culinary_2014
294,Capsicum frutescens,Solanaceae,piri piri,C Am; S Am,fruit,van_wyk_culinary_2014
295,Capsicum pubescens,Solanaceae,rocoto,S Am (Andes), fruit,van_wyk_culinary_2014
296,Capsicum pubescens,Solanaceae,tree chilli,S Am (Andes), fruit,van_wyk_culinary_2014
297,Carthamus tinctorius,Asteraceae,safflower,N Afr; W As,flower; fruit,van_wyk_culinary_2014
298,Carthamus tinctorius,Asteraceae,false saffron,N Afr; W As,flower; fruit,van_wyk_culinary_2014
299,Carthamus tinctorius,Asteraceae,saffron thistle,N Afr; W As,flower; fruit,van_wyk_culinary_2014
300,Carum carvi,Apiaceae,caraway,Med,fruit,van_wyk_culinary_2014
301,Centauria benedicta (=Cnicus benedictus),Asteraceae,blessed thistle,Eur; W As,herb,van_wyk_culinary_2014
302,Centauria benedicta (=Cnicus benedictus),Asteraceae,holy thistle,Eur; W As,herb,van_wyk_culinary_2014
303,Centaurium erythraea,Gentianaceae,centaury,Eur; As,herb,van_wyk_culinary_2014
304,Centaurium erythraea,Gentianaceae,feverwort,Eur; As,herb,van_wyk_culinary_2014
305,Centaurium erythraea,Gentianaceae,pink centaury,Eur; As,herb,van_wyk_culinary_2014
306,Ceratonia siliqua,Leguminosae,carob,Eur; W As,fruit,van_wyk_culinary_2014
307,Ceratonia siliqua,Leguminosae,locust bean,Eur; W As,fruit,van_wyk_culinary_2014
308,Ceratonia siliqua,Leguminosae,St John’s bread,Eur; W As,fruit,van_wyk_culinary_2014
309,Chamaemelum nobile,Asteraceae,Roman chamomile,Eur,flower,van_wyk_culinary_2014
310,Chenopodium ambrosioides,Chenopodiaceae,blue weed,C Am; S Am,leaf; herb,van_wyk_culinary_2014
311,Chenopodium ambrosioides,Chenopodiaceae,goose foot,C Am; S Am,leaf; herb,van_wyk_culinary_2014
312,Chenopodium ambrosioides,Chenopodiaceae,lamb’s quarters,C Am; S Am,leaf; herb,van_wyk_culinary_2014
313,Chenopodium ambrosioides,Chenopodiaceae,pigweed,C Am; S Am,leaf; herb,van_wyk_culinary_2014
314,Chenopodium botrys,Chenopodiaceae,Jerusalem oak,Eur; C As,fresh herb,van_wyk_culinary_2014
315,Chenopodium botrys,Chenopodiaceae,slimy anserine herb,Eur; C As,fresh herb,van_wyk_culinary_2014
316,Chloranthus spicatus,Chloranthaceae,pearl orchid flower,SE As,flower; leaf,van_wyk_culinary_2014
