species,family,name,region,part,source
Escobedia scabrifolia,Scrophulariaceae,saffron of Andes; saffron root,Trop Am,root,van_wyk_culinary_2014
Etlingera elatior (=Phaeomeria magnifica),Zingiberaceae,torch ginger; Philippine wax flower,Trop As,flower bud ,van_wyk_culinary_2014
Eupatorium cannabinum,Asteraceae,hemp agrimony,Eur; Med; C As,leaf; herb,van_wyk_culinary_2014
Ferula assa-foetida,Apiaceae,asafoetida; devil’s dung; hing,W & C As,gum,van_wyk_culinary_2014
Ferula foetida,Apiaceae,asafoetida; fetida,W As (Iran),gum,van_wyk_culinary_2014
Ferula gummosa,Apiaceae,galbanum,W As (Iran),gum,van_wyk_culinary_2014
Ferula narthex,Apiaceae,asafoetida,Afghanistan,gum,van_wyk_culinary_2014
Filipendula ulmaria,Rosaceae,meadow sweet; dropwort,Eur; As,flower,van_wyk_culinary_2014
Foeniculum vulgare,Apiaceae,fennel,Eur; Med,fruit; leaf,van_wyk_culinary_2014
Fortunella crassifolia,Rutaceae,large round kumquat; meiwa kumquat,China,fruit,van_wyk_culinary_2014
Fortunella hindsii,Rutaceae,Hongkong wild kumquat; Formosan kumquat,E As,fruit,van_wyk_culinary_2014
Fortunella japonica,Rutaceae,round kumquat; marumi kumquat,E As (China),fruit,van_wyk_culinary_2014
Fortunella margarita,Rutaceae,oval kumquat; nagami kumquat,E As (China),fruit,van_wyk_culinary_2014
Fortunella polyandra,Rutaceae,Malayan kumquat; hedge lime,E As,fruit,van_wyk_culinary_2014
Galipea officinalis,Rutaceae,angostura,Trop Am,bark,van_wyk_culinary_2014
Galium odoratum,Rubiaceae,sweet woodruff; woodruff asperule,Eur; As,fresh herb,van_wyk_culinary_2014
Garcinia atroviridis,Clusiaceae,asam gelungor,NE Ind,fruit,van_wyk_culinary_2014
Garcinia gummi-guta (=G. cambogia),Clusiaceae,Malabar tamarind; cambodge; goraga,Ind,fruit,van_wyk_culinary_2014
Garcinia indica,Clusiaceae,kokam; kokum,Ind,fruit peel,van_wyk_culinary_2014
Garcinia xanthochymus,Clusiaceae,gamboges; mundu,N Ind,fruit,van_wyk_culinary_2014
Gardenia augusta,Rubiaceae,gardenia; Cape jasmine,China,flower; fruit,van_wyk_culinary_2014
Gaultheria procumbens,Ericaceae,alpine wintergreen; creeping wintergreen,N Am,essential oil,van_wyk_culinary_2014
Gentiana lutea,Gentianaceae,yellow gentian; bitter root,Eur; W As,rhizome,van_wyk_culinary_2014
Geum urbanum,Rosaceae,clove root; herb bennet; wood avens,Eur; As; N Am,root,van_wyk_culinary_2014
Ginkgo biloba,Ginkgoaceae,gingko; maidenhair tree,E China,seeds,van_wyk_culinary_2014
Glechoma hederacea,Lamiaceae,alehoof; gill over the ground; ground ivy,Eur,leaf; herb,van_wyk_culinary_2014
Glehnia litoralis,Apiaceae,cork wing,NE As; N Am,leaf,van_wyk_culinary_2014
Globba marantina,Zingiberaceae,kapulaga ambon; halia utan; bonelau,E As,rhizome; herb,van_wyk_culinary_2014
Glycine max,Leguminosae,soybean; soya bean; soya,As; E As,seed,van_wyk_culinary_2014
Glycyrrhiza echinata,Leguminosae,Roman liquorice,S Eur,rhizome,van_wyk_culinary_2014
Glycyrrhiza glabra,Leguminosae,licorice; liquorice,Med; W As; C As,rhizome,van_wyk_culinary_2014
Glycyrrhiza lepidota,Leguminosae,American licorice,N Am,rhizome,van_wyk_culinary_2014
Glycyrrhiza uralensis,Leguminosae,Chinese licorice; Manchurian liquorice,China; As,root,van_wyk_culinary_2014
Gnetum gnemon,Gnetaceae,melinjo; belinjo,Trop As,leaf,van_wyk_culinary_2014
Guajacum officinale,Zygophyllaceae,lignum vitae,C Am; S Am,wood; resin,van_wyk_culinary_2014
Guajacum sanctum,Zygophyllaceae,holywood; lignum vitae,S Am,wood; resin,van_wyk_culinary_2014
Hedeoma pulegioides,Lamiaceae,American (false) pennyroyal; mosquito plant; pennyroyal; squaw mint; tickweed,N Am,leaf,van_wyk_culinary_2014
Helichrysum italicum,Asteraceae,curry plant; Italian everlasting; immortelle,Med; W As,herb,van_wyk_culinary_2014
Hemerocallis aurantiaca,Hemerocallidaceae,orange day lily,E As,flower,van_wyk_culinary_2014
Hemerocallis citrina,Hemerocallidaceae,lemon day lily,E As,flower,van_wyk_culinary_2014
Hemerocallis fulva,Hemerocallidaceae,fulvous day lily; golden needles; orange needles; tawny day lily,As,flower,van_wyk_culinary_2014
Hemerocallis lilioasphodelus,Hemerocallidaceae,lemon day lily; yellow day lily,E Siberia; Jap,flower,van_wyk_culinary_2014
Hemerocallis minor,Hemerocallidaceae,dwarf yellow day lily; grass leaf day lily; little day lily,E As,flower,van_wyk_culinary_2014
Hemidesmus indicus,Asclepiadeceae,Indian sarsaparilla; nunnery root,S Ind; SE As; Malay,root,van_wyk_culinary_2014
Heracleum persicum,Apiaceae,golpar; Persian cow-parsley,Iran,seed,van_wyk_culinary_2014
Hesperethusa crenulata,Rutaceae,beli; tondsha; tor elaga; nayvila; nayibullal,Indomal,fruit,van_wyk_culinary_2014
Heterotheca inuloides,Asteraceae,false golden aster; Mexican arnica,S & N Am,flower,van_wyk_culinary_2014
Hibiscus sabdariffa,Malvaceae,roselle; hibiscus; karkade; Jamaica sorrel,Trop Afr,calyx,van_wyk_culinary_2014
Hierochloe odorata,Poaceae,holy grass; manna grass; seneca grass; sweet grass; vanilla grass,Eur; As; N Am,leaf,van_wyk_culinary_2014
Houttuynia cordata,Saururaceae,fishwort; fish mint; saururis; heart leaf,SE As,leaf; herb,van_wyk_culinary_2014
Humulus lupulus,Cannabaceae,hop; hops,Eur; As; N Am,female flowers,van_wyk_culinary_2014
Hypericum perforatum,Hypericaceae,St John’s wort,Eur; As,herb,van_wyk_culinary_2014
Hyptis spicigera,Lamiaceae,black sesame; black beni seed; bush mint,Am; Afr,seed,van_wyk_culinary_2014
Hyptis suaveolens,Lamiaceae,Indian horehound; wild spikenard,S Am,leaf,van_wyk_culinary_2014
Hyssopus officinalis,Lamiaceae,hyssop,S Eur,herb,van_wyk_culinary_2014
Illicium verum,Illiciaceae,star anise; Chinese star anise; Chinese anise,China,fruit,van_wyk_culinary_2014
Inula helenium,Asteraceae,elecampane; scabwort; velvet dock,As; Eur,rhizome,van_wyk_culinary_2014
Iris germanica,Iridaceae,flag iris; common iris; German iris; orris,Eur,rhizome,van_wyk_culinary_2014
Jasminum officinale,Oleaceae,white jasmine; jessamine,Himal; SW China,flower,van_wyk_culinary_2014
Jasminum sambac,Oleaceae,Arabian jasmine; biblical jasmine; samba,As,flower,van_wyk_culinary_2014
Juglans nigra,Juglandaceae,black walnut,N Am,seed,van_wyk_culinary_2014
Juglans regia,Juglandaceae,walnut; English walnut; Persian walnut,C As,seed,van_wyk_culinary_2014
Juniperus communis,Cupressaceae,juniper,As; Eur; N Am,fruit,van_wyk_culinary_2014
Juniperus virginiana,Cupressaceae,Virginian cedar; pencil cedar; eastern red cedar,N Am,fruit,van_wyk_culinary_2014
Kaempferia galanga,Zingiberaceae,small galangal; kencur; sha jiang,Trop As,rhizome; leaf,van_wyk_culinary_2014
Krameria lappacea,Krameriaceae,rhatany; Peruvian rhatany,S Am,root,van_wyk_culinary_2014
Lactuca sativa,Asteraceae,lettuce,Med,leaf,van_wyk_culinary_2014
Lantana camara,Verbenaceae,lantana; red sage; sherry pie; shrub verbena,C Am; S Am,leaf,van_wyk_culinary_2014
Laser trilobum,Apiaceae,laserwort,Eur; W As,fruit,van_wyk_culinary_2014
Laserpitium siler,Apiaceae,laserwort,N Afr; C & S Eu,fruit; root,van_wyk_culinary_2014
Laurus nobilis,Lauraceae,laurel; bay leaf; bay laurel; sweet bay,Med,leaf; frui,van_wyk_culinary_2014
Lavandula angustifolia,Lamiaceae,English lavender; lavender; true lavender; common lavender,Med,herb,van_wyk_culinary_2014
Lavandula dentata,Lamiaceae,French lavender,Med; W As,herb,van_wyk_culinary_2014
Lavandula ×intermedia,Lamiaceae,lavandin; Dutch lavender,cultigen,herb,van_wyk_culinary_2014
Lavandula latifolia,Lamiaceae,broadleaf lavender; spike lavender; spikenard; broad-leaf lavender,Med,herb,van_wyk_culinary_2014
Lavandula stoechas,Lamiaceae,Spanish lavender; Arabian lavender; French lavender; Italian lavender,Med,herb,van_wyk_culinary_2014
Lepidium draba,Brassicaceae,hoary cress; whitetop,Med; Euras,leaf; seed,van_wyk_culinary_2014
Lepidium latifolium,Brassicaceae,dittander; perennial peppergrass,Eur; Med,fresh herb,van_wyk_culinary_2014
Lepidium sativum,Brassicaceae,cress; garden cress; pepper grass,N Afr; W & C As,fresh leaf,van_wyk_culinary_2014
Leptospermum citratum,Myrtaceae,lemon-scented tea,Aus,leaf,van_wyk_culinary_2014
Leucas zeylanica,Lamiaceae,Ceylon leucas; admiration herb,Trop As,leaf,van_wyk_culinary_2014
Levisticum officinale,Apiaceae,lovage; garden lovage,Eur; N Am,herb; root; fruit,van_wyk_culinary_2014
Limnophila aromatica,Plantaginaceae,rice-paddy weed,SE As,herb,van_wyk_culinary_2014
Limnophila rugosa,Plantaginaceae,hades; selaseh; ayer; selaseh banyu,Trop OW; Pac,leaf; herb,van_wyk_culinary_2014
Lippia adoensis,Verbenaceae,koseret,E Afr (Ethiopia),herb,van_wyk_culinary_2014
Lippia alba,Verbenaceae,white oregano,N Am,leaf; herb,van_wyk_culinary_2014
Lippia dulcis,Verbenaceae,Mexican lippia; yerba dulce,C Am,leaf; herb,van_wyk_culinary_2014
Lippia graveolens,Verbenaceae,Mexican oregano; American oregano; Mexican sage; mintweed,S Am; N Am; C Am,leaf; herb,van_wyk_culinary_2014
Lippia javanica,Verbenaceae,fever tea,Afr,leaf; herb,van_wyk_culinary_2014
Lippia micromera,Verbenaceae,Spanish thyme; Puerto Rico oregano,N Am; S Am,leaf; herb,van_wyk_culinary_2014
Lippia multiflora,Verbenaceae,Gambian tea bush,Afr,leaf,van_wyk_culinary_2014
Litsea cubeba,Lauraceae,mountain pepper; pheasant-pepper,As,fruit,van_wyk_culinary_2014
Litsea japonica,Lauraceae,Japanese mountain pepper,As,fruit,van_wyk_culinary_2014
Litsea pipericarpa,Lauraceae,kulit antarsa; kulit pulaga,As,fruit,van_wyk_culinary_2014
Lycopersicon esculentum,Solanaceae,tomato,C Am; S Am,fruit,van_wyk_culinary_2014
Mammea americana,Guttiferae,mammee; mammee-apple,S Am,flower,van_wyk_culinary_2014
Mangifera indica,Anacardiaceae,mango (amchur; amchoor),Ind; Trop As,fruit,van_wyk_culinary_2014
Mangifera odorata,Anacardiaceae,kurwini mango; saipan mango,SE As,fruit,van_wyk_culinary_2014
Marrubium vulgare,Lamiaceae,horehound; white horehound,Eur,leaf,van_wyk_culinary_2014
Matricaria recutita,Asteraceae,German chamomile,Eur,herb,van_wyk_culinary_2014
Mediasia macrophylla,Apiaceae,pamir; large-leaved mediasia,As,fruit,van_wyk_culinary_2014
Melissa officinalis,Lamiaceae,lemon balm; sweet balm; melissa,Med; As,leaf; herb,van_wyk_culinary_2014
Mentha alopecuroides,Lamiaceae,apple mint; bowl mint,Eur,leaf; herb,van_wyk_culinary_2014
Mentha aquatica,Lamiaceae,water mint,Eur; Afr; W As,leaf; herb,van_wyk_culinary_2014
Mentha arvensis,Lamiaceae,corn mint; field mint; Japanese mint,Eur; As,leaf; herb,van_wyk_culinary_2014
Mentha ×cordifolia,Lamiaceae,Kentucky spearmint,N Am,herb,van_wyk_culinary_2014
Mentha ×gracilis,Lamiaceae,Scotch mint; Scotch spearmint; ginger mint,Eur,leaf; herb,van_wyk_culinary_2014
Mentha haplocalyx,Lamiaceae,Japanese peppermint,As,herb,van_wyk_culinary_2014
Mentha longifolia,Lamiaceae,horse mint; long-leaf mint,Eur; As; Afr,herb,van_wyk_culinary_2014
Mentha ×piperita,Lamiaceae,peppermint,cultigen (Britain),leaf; herb,van_wyk_culinary_2014
Mentha ×piperita ‘citrata’,Lamiaceae,bergamot mint; eau de Cologne mint; lemon mint; orange mint,Britain,fresh leaf,van_wyk_culinary_2014
Mentha pulegium,Lamiaceae,pennyroyal; pudding grass,Eur; W As,leaf; herb,van_wyk_culinary_2014
Mentha requienii,Lamiaceae,Corsican mint; menthella,Eur,leaf; herb,van_wyk_culinary_2014
Mentha ×rotundifolia,Lamiaceae,round-leaved mint; false apple mint,Eur,leaf; herb,van_wyk_culinary_2014
Mentha ×smithiana,Lamiaceae,red mint; bergamot mint,Eur,leaf; herb,van_wyk_culinary_2014
Mentha spicata,Lamiaceae,spearmint; garden mint; crisp mint; green mint; lamb mint,Eur,leaf; herb,van_wyk_culinary_2014
Mentha suaveolens,Lamiaceae,apple mint; pineapple mint,Eur,leaf; herb,van_wyk_culinary_2014
Mentha ×villosa,Lamiaceae,bowl mint; apple mint; woolly mint,Eur,leaf,van_wyk_culinary_2014
Menyanthes trifoliata,Menyanthaceae,bogbean; bogmyrtle; marsh-clover; marshtrefoil; water trefoil,Eur; N Am; As,leaf,van_wyk_culinary_2014
Merremia dissecta,Convolvulaceae,alamo vine; dissected merremia,Trop Am,leaf,van_wyk_culinary_2014
Meum athamanticum,Apiaceae,baldmoney; bearwort; meu; spignel,N Afr; Eur,root; leaf,van_wyk_culinary_2014
Michelia champaca,Magnoliaceae,golden champa; yellow champa,C As,flower,van_wyk_culinary_2014
Micromeria fruticosa,Lamiaceae,talmud widder hyssop; tea hyssop,E Med; Israel,herb,van_wyk_culinary_2014
Minthostachys mollis,Lamiaceae,Ecuadorian mint; tipo leaf,N Andes,leaf; herb,van_wyk_culinary_2014
Mirabilis jalapa,Nyctaginaceae,beauty of the night; false jalap; four o’clock plant; marvel of Peru,Mex,seed,van_wyk_culinary_2014
Momordica charantia,Cucurbitaceae,balsam pear; bitter cucumber; bitter gourd; bitter melon; carilla plant,Trop OW,pulp,van_wyk_culinary_2014
Monarda citriodora,Lamiaceae,lemon bergamot; lemon mint,Mex; USA,leaf,van_wyk_culinary_2014
Monarda didyma,Lamiaceae,fragrant balm; Oswego bee balm; Oswego tea,E & N Am,leaf; herb,van_wyk_culinary_2014
Monarda fistulosa,Lamiaceae,bee balm; horse bergamot; wild bergamot,N Am,leaf,van_wyk_culinary_2014
Mondia whitei,Apocynaceae,white ginger,Trop Afr,root,van_wyk_culinary_2014
Monodora brevipes,Annonaceae,short-stemmed African nutmeg; yellow flowery nutmeg,Trop Afr,seed,van_wyk_culinary_2014
Monodora myristica,Annonaceae,African nutmeg; false nutmeg; calabash nutmeg; Jamaica nutmeg,Trop Afr,seed,van_wyk_culinary_2014
Montia perfoliata,Portulacaceae,miner’s lettuce; Cuban spinach; winter purslane,N Am,leaf,van_wyk_culinary_2014
Moringa oleifera,Moringaceae,horseradish tree; drumstick tree,Ind,flower; leaf; fruit,van_wyk_culinary_2014
Murraya koenigii,Rutaceae,curry leaf,Ind; Sri Lanka,leaf,van_wyk_culinary_2014
Murraya paniculata,Rutaceae,jasmine orange; Chinese myrtle; Chinese box-wood; Burmese box-wood; satinwood; Hawaiian orange; orange jasmine,SE As; Aus,flower,van_wyk_culinary_2014
Myrica cerifera,Myricaceae,bay berry; candle berry; wax berry; wax myrtle,N Am,leaf,van_wyk_culinary_2014
Myrica gale,Myricaceae,bog myrtle; gale meadow fern; sweet gale; sweet myrtle; wax berry,N Am; Euras,herb,van_wyk_culinary_2014
Myrica pennsylvanica,Myricaceae,bay berry; candle berry; northern bayberry; waxy berry,Eastern N Am,herb,van_wyk_culinary_2014
Myristica argentea,Myristicaceae,silver nutmeg,New Guinea,seed; aril,van_wyk_culinary_2014
Myristica fragrans,Myristicaceae,nutmeg and mace,Moluccas,seed; aril,van_wyk_culinary_2014
Myristica malabarica,Myristicaceae,Bombay nutmeg; Malabar nutmeg,Indonesia,seed; aril,van_wyk_culinary_2014
Myristica speciosa,Myristicaceae,Moluccan nutmeg,Indonesia,seed,van_wyk_culinary_2014
Myroxylon balsamum,Leguminosae,balsam of Tolu; balsam of Peru; black balsam; Peruvian balsam,Venez; Peru,balsam,van_wyk_culinary_2014
Myrrhis odorata,Apiaceae,cicely; sweet cicely; garden myrrh,Eur,fresh herb; fruit,van_wyk_culinary_2014
Myrtus communis,Myrtaceae,myrtle; common myrtle,Med,leaf; fruit,van_wyk_culinary_2014
Nardostachys jatamansi (N. grandiflora),Valerianaceae,jatamansi; Indian nard; spikenard,As,leaf; rhizome,van_wyk_culinary_2014
Nasturtium microphyllum,Brassicaceae,wild watercress,Eur,fresh leaf,van_wyk_culinary_2014
Nasturtium officinale (=Rorippa nasturtiumaquaticum),Brassicaceae,watercress,Eur,fresh leaf,van_wyk_culinary_2014
Nelumbo nucifera,Nelumbonaceae,lotus,As; Aus,herb; leaf,van_wyk_culinary_2014
Nepeta cataria,Lamiaceae,catmint; catnip; lemon catnip,Eur; SW & C As,herb,van_wyk_culinary_2014
Nepeta ×faassenii,Lamiaceae,blue catmint,Caucasus; Iran,herb,van_wyk_culinary_2014
Nepeta racemosa,Lamiaceae,mussin catnip,Caucasus; Turkey; N Iran,herb,van_wyk_culinary_2014
Nigella arvensis,Ranunculaceae,wild fennel,Euras; Eur; Med,seed; plant,van_wyk_culinary_2014
Nigella damascena,Ranunculaceae,love-in-a-mist; wild fennel,Med,seed,van_wyk_culinary_2014
Nigella sativa,Ranunculaceae,nigella; kalonji; black seed,Med; As,seed,van_wyk_culinary_2014
Ocimum americanum (=O. canum),Lamiaceae,hoary basil; lime basil; partminger,Trop OW,leaf,van_wyk_culinary_2014
Ocimum basilicum,Lamiaceae,sweet basil; basil; common basil lemon basil,Trop As,leaf,van_wyk_culinary_2014
Ocimum ×citriodorum,Lamiaceae,lemon basil; kemanji,cultivated,leaf,van_wyk_culinary_2014
Ocimum forskolei,Lamiaceae,mint-leaf basil,cultivated,leaf,van_wyk_culinary_2014
Ocimum gratissimum (=O. suave),Lamiaceae,African basil; sweet scented basil clove basil; Russian basil,S As; Trop Afr,leaf; herb,van_wyk_culinary_2014
Ocimum kilimandscharicum,Lamiaceae,camphor basil,E Afr,leaf,van_wyk_culinary_2014
Ocimum tenuiflorum (=O. sanctum),Lamiaceae,holy basil; sacred basil; Thai basil,Trop As,leaf; herb,van_wyk_culinary_2014
Ocotea cymbarum,Lauraceae,canela,Braz,bark; calyx,van_wyk_culinary_2014
Ocotea puchury-major,Lauraceae,louro-puxuri; pichuri; pixurim; puchuiri,S Am,seed,van_wyk_culinary_2014
Ocotea quixos,Lauraceae,American cinnamon; ocotea,Ecuador,flower,van_wyk_culinary_2014
Ocotea pretiosa,Lauraceae,false sassafras,Braz,bark; leaf,van_wyk_culinary_2014
Oenanthe javanica,Apiaceae,water dropwort; water celery; water parsley,Indomal,herb,van_wyk_culinary_2014
Origanum dictamnus,Lamiaceae,dittany of Crete,Greece; Crete,herb,van_wyk_culinary_2014
Origanum majorana,Lamiaceae,marjoram; sweet marjoram,Med; Turkey,herb,van_wyk_culinary_2014
Origanum onites,Lamiaceae,pot marjoram,Eur; E Med,herb,van_wyk_culinary_2014
Origanum syriacum,Lamiaceae,Syrian oregano; za’atar; zatar; white oregano,SE Eur; W As,herb,van_wyk_culinary_2014
Origanum vulgare,Lamiaceae,oregano; wild marjoram; pizza herb,Eur; C As,herb,van_wyk_culinary_2014
Osmanthus fragrans,Oleaceae,sweet osmanthus flower; fragrant olive; sweet olive; tea olive,E As (China),flower,van_wyk_culinary_2014
Ottelia alismoides,Hydrocharitaceae,water-plantain; ottelia,China; Jap; Aus; NE Afr,leaf,van_wyk_culinary_2014
Oxalis acetosella,Oxalidaceae,common wood sorrel; wood sorrel; shamrock,Eur; As,leaf,van_wyk_culinary_2014
Oxalis corniculata,Oxalidaceae,creeping wood sorrel; creeping oxalis,Med,leaf,van_wyk_culinary_2014
Oxalis pes-caprae,Oxalidaceae,sorrel; yellow sorrel,S Afr,leaf,van_wyk_culinary_2014
Pandanus amaryllifolius,Pandanaceae,pandan; fragrant pandan,Trop As (Moluccas),wilted leaves,van_wyk_culinary_2014
Pandanus tectorius,Pandanaceae,fragrant screwpine,Trop OW,leaf; male flowers,van_wyk_culinary_2014
Papaver somniferum,Papaveraceae,opium poppy; poppy,Med; SW As,seed,van_wyk_culinary_2014
Parinari curatellifolia,Chrysobalanceae,mobola; mbura,Trop Afr,fruit,van_wyk_culinary_2014
Parkia speciosa,Mimosaceae,petai; locust bean,Trop As,seed,van_wyk_culinary_2014
Pastinaca sativa,Apiaceae,parsnip,Eur; W As,leaf; root,van_wyk_culinary_2014
Peganum harmala,Zygophyllaceae,African rue; Syrian rue; mountain rue; wild rue,Med; As,seed,van_wyk_culinary_2014
Pelargonium capitatum,Geraniaceae,rose-scented geranium; rose geranium; rose pelargonium,S Afr,leaf,van_wyk_culinary_2014
Pelargonium ×citrosum,Geraniaceae,citrosa geranium; mosquito plant,cultivated,leaf,van_wyk_culinary_2014
Pelargonium crispum,Geraniaceae,lemon geranium; curled leaved cranesbill,S Afr,leaf,van_wyk_culinary_2014
Pelargonium ×fragrans,Geraniaceae,nutmeg scented geranium,S Afr,leaf,van_wyk_culinary_2014
Pelargonium ×graveolens,Geraniaceae,rose geranium; Bourbon geranium; rose pelargonium; sweet-scented geranium,cultivated,leaf,van_wyk_culinary_2014
Pelargonium ×limoneum,Geraniaceae,English finger-bowl geranium,cultivated,leaf,van_wyk_culinary_2014
Pelargonium odoratissimum,Geraniaceae,apple-scented geranium,S Afr,leaf,van_wyk_culinary_2014
Pelargonium radens,Geraniaceae,mint geranium; balsam (scented) geranium,S Afr,leaf,van_wyk_culinary_2014
Pelargonium tomentosum,Geraniaceae,peppermint-scented geranium,S Afr,leaf,van_wyk_culinary_2014
Peperomia pellucida,Piperaceae,pepper elder; rabbit ear,Trop Am,herb,van_wyk_culinary_2014
Perilla frutescens,Lamiaceae,shiso; beefsteak plant; perilla; purple mint,E As,leaf; herb,van_wyk_culinary_2014
Persicaria hydropiper,Polygonaceae,water pepper,SE As,leaf; herb,van_wyk_culinary_2014
Persicaria odorata,Polygonaceae,Vietnamese coriander; Vietnamese mint; laksa leaf,SE As,leaf,van_wyk_culinary_2014
Petroselinum crispum,Apiaceae,parsley,Eur; W As,leaf,van_wyk_culinary_2014
Peucedanum ostruthium,Apiaceae,hog fennel,S Eur,rhizome,van_wyk_culinary_2014
Peumus boldus,Monimiaceae,boldo,Chile,leaf,van_wyk_culinary_2014
Phyllanthus emblica,Euphorbiaceae,emblic; emblic myrobalan; Indian gooseberry,Trop As,fruit,van_wyk_culinary_2014
Physalis philadelphica (=P. ixocarpa),Solanaceae,tomatillo; jamberry,Mex,ripe fruit,van_wyk_culinary_2014
Physalis pubescens,Solanaceae,downy ground cherry; ground cherry,N Am,ripe fruit,van_wyk_culinary_2014
Picrasma excelsa,Simaroubaceae,bitterwood; Jamaica quassia; quassia wood,West Indies,wood,van_wyk_culinary_2014
Picrasma quassioides,Simaroubaceae,bitterwood; quassia wood,E As,wood,van_wyk_culinary_2014
Pimenta dioica,Myrtaceae,allspice; pimento; Jamaican pepper,C Am; West Indies,fruit,van_wyk_culinary_2014
Pimenta racemosa,Myrtaceae,bay rum,Trop Am,fruit,van_wyk_culinary_2014
Pimpinella anisum,Apiaceae,anise; aniseed,Med; W As,fruit,van_wyk_culinary_2014
Pimpinella major,Apiaceae,greater burnet saxifrage,Eur,root,van_wyk_culinary_2014
Pimpinella saxifraga,Apiaceae,burnet saxifrage; garden burnet,Eur,root,van_wyk_culinary_2014
Pinus cembra,Pinaceae,Siberian pine nuts,Eur; As,seed,van_wyk_culinary_2014
Pinus cembroides,Pinaceae,Mexican pine nuts; Mexican piñon,N Am,seed,van_wyk_culinary_2014
Pinus edulis,Pinaceae,piñon,N Am,seed,van_wyk_culinary_2014
Pinus koraiensis,Pinaceae,Korean pine nuts,As,seed,van_wyk_culinary_2014
Pinus pinea,Pinaceae,pine nuts; pine seeds; pignoles,Med,seed,van_wyk_culinary_2014
Piper aduncum,Piperaceae,matico; big pepper; Spanish elder; spiked pepper,C Am; S Am,fruit,van_wyk_culinary_2014
Piper auritum,Piperaceae,Mexican pepperleaf; alajan pepper,C Am,leaf,van_wyk_culinary_2014
Piper baccatum,Piperaceae,climbing pepper of Java,SE As,fruit; leaf,van_wyk_culinary_2014
Piper borbonense,Piperaceae,Madagascar pepper; poivre sauvage; cubebe du pays; betel marron,Afr (Madag),fruit,van_wyk_culinary_2014
Piper capense,Piperaceae,Cape pepper,E Afr,fruit,van_wyk_culinary_2014
Piper clusii,Piperaceae,West African black pepper; African cubebs,W Afr,fruit,van_wyk_culinary_2014
Piper cubeba,Piperaceae,cubeb pepper; tailed pepper; Java pepper,Indonesia,unripe fruit,van_wyk_culinary_2014
Piper guineense,Piperaceae,West African pepper; Ashanti pepper; Benin pepper,Trop Afr,fruit,van_wyk_culinary_2014
Piper lolot,Piperaceae,lolot pepper; Vietnamese pepper,SE As,leaf,van_wyk_culinary_2014
Piper longum,Piperaceae,Indian long pepper; pippali; pipalli,Trop E Himal,fruit,van_wyk_culinary_2014
Piper nigrum,Piperaceae,pepper; black pepper,S Ind; Sri Lanka,fruit; unripe fruit,van_wyk_culinary_2014
Piper retrofractum,Piperaceae,Balinese long pepper; Javanese long pepper,SE As,fruit,van_wyk_culinary_2014
Piper saigonense,Piperaceae,Saigon pepper,SE As,fruit,van_wyk_culinary_2014
Piper sanctum,Piperaceae,acoyo; acuyo; cordonillo; xihuitl,C Am,herb,van_wyk_culinary_2014
Piper sarmentosum,Piperaceae,wild pepper,Indomal,fruit; leaf,van_wyk_culinary_2014
Piper umbellatum,Piperaceae,shrubby pepper,Trop Am,fruit; stem,van_wyk_culinary_2014
Pistacia lentiscus,Anacardiaceae,mastic; masticha; mistki Chios mastic; lentisc,Med,resin,van_wyk_culinary_2014
Pistacia terebinthus,Anacardiaceae,terebinth,Med,resin,van_wyk_culinary_2014
Pistacia vera,Anacardiaceae,pistachio,W As,seed,van_wyk_culinary_2014
Pithecellobium dulce,Leguminosae,Manila tamarind,C Am,fruit; seed,van_wyk_culinary_2014
Plectranthus amboinicus,Lamiaceae,Indian borage; Cuban oregano; Spanish sage,E Afr,fresh leaf,van_wyk_culinary_2014
Pluchea indica,Asteraceae,Indian fleabane; Indian pluchea,Indomal,leaf,van_wyk_culinary_2014
Pogostemon cablin,Lamiaceae,patchouli; patchouly,Indomal,leaf,van_wyk_culinary_2014
Pogostemon indicus (=P. heyneanus),Lamiaceae,Indian patchouli,Indomal,leaf,van_wyk_culinary_2014
Populus balsamifera,Salicaceae,balsam poplar; hackmatack; tacamahaca poplar,N Am; Temp As,leaf bud ,van_wyk_culinary_2014
Populus nigra,Salicaceae,black poplar; Lombardy poplar,Euras,leaf bud ,van_wyk_culinary_2014
Porophyllum ruderale,Asteraceae,quillquina; killi,C Am; S Am,fresh leaves,van_wyk_culinary_2014
Portulaca oleracea,Portulacaceae,purslane,W As,leaf,van_wyk_culinary_2014
Portulaca quadrifida,Portulacaceae,single-flowered purslane; wild purslane,S Eur,herb,van_wyk_culinary_2014
Potentilla erecta,Rosaceae,tormentill; bloodroot,Eur; As,rhizome,van_wyk_culinary_2014
Prostanthera rotundifolia,Lamiaceae,Australian mint bush; round-leaved mint bush,Aus,herb,van_wyk_culinary_2014
Prunus dulcis (=P. amygdalis),Rosaceae,almond,W As,seed,van_wyk_culinary_2014
Prunus laurocerasus,Rosaceae,cherry laurel; laurel,Eur; W As,fresh leaf,van_wyk_culinary_2014
Prunus mahaleb,Rosaceae,mahaleb; mahaleb cherry; St Lucie cherry,Eur; As,fruit; leaf; seed,van_wyk_culinary_2014
Prunus serotina,Rosaceae,American bird cherry; black cherry; rum cherry,E & N Am,leaf,van_wyk_culinary_2014
Punica granatum,Punicaceae,pomegranate; anardana,Eur; W As,seeds,van_wyk_culinary_2014
